S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,8,7,7,718,"3,622"
1,Balarampur,1,1,1,125,549
2,Balikuti,1,1,1,84,399
3,Bolang,1,1,1,26,109
4,Deula,2,1,1,312,"1,485"
5,Kumbhari,1,1,1,56,286
6,Madhupura,1,1,1,42,180
7,Nuagoan,1,1,1,73,614
,Total,8,7,7,718,"3,622"
