S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,44,42,149,"13,741","57,759"
1,Anchalaguma,3,3,11,"2,027","8,157"
2,Digi,2,2,6,601,"1,925"
3,Gaura Deopali,1,1,8,352,"1,434"
4,Jhoriguma,1,1,11,"1,263","5,570"
5,Kamta,1,1,1,180,627
6,Kantagam,2,2,18,"2,163","9,129"
7,Kongra,3,3,6,854,"3,579"
8,Kukudabai,1,1,6,378,"1,550"
9,Lamtaguda,10,9,22,"1,376","5,560"
10,Manchagam,5,4,6,273,"1,107"
11,Patraput,5,5,16,"1,879","8,652"
12,Pujariguda,2,2,16,"1,606","7,376"
13,Tentulikhunti,8,8,22,789,"3,093"
,Total,44,42,149,"13,741","57,759"
