S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,131,129,488,"19,415","87,243"
1,Ambaguda,6,6,17,702,"2,895"
2,BHANDARIPANGAM,4,4,16,699,"2,932"
3,Bhejaguda,7,7,33,"1,260","5,730"
4,Chaulamendi,5,5,20,995,"4,195"
5,Chedanga,7,7,30,"1,243","5,333"
6,Dalapatiguda,6,6,15,854,"3,557"
7,Dhungiaput,5,5,29,"1,009","4,435"
8,Kamarpally,2,2,13,554,"2,429"
9,KARTANPALLI,6,6,22,929,"4,151"
10,KATAPALI,7,6,26,807,"3,733"
11,Kiang,10,10,30,"1,110","5,271"
12,Kuntunlipalli,6,6,39,"1,020","4,741"
13,Mahupadar,4,4,14,801,"4,091"
14,Mathili,3,3,15,494,"2,562"
15,Mekka,5,5,29,"1,141","5,155"
16,Naikguda,11,10,41,"1,607","7,225"
17,Pangam,13,13,30,"1,291","5,825"
18,Salimi,9,9,21,"1,035","4,585"
19,Temurupalli,7,7,24,"1,133","5,219"
20,Udulibeda,8,8,24,731,"3,179"
,Total,131,129,488,"19,415","87,243"
