S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,122,636,635,"4,550","1,32,613","6,12,166"
1,Balisankara,19,87,86,609,"20,746","83,180"
2,Gurundia,13,138,138,687,"13,916","64,532"
3,Kuarmunda,20,106,106,852,"22,299","1,07,065"
4,Kutra,16,54,54,471,"17,315","80,206"
5,Nuagaon,20,119,119,794,"22,012","1,02,640"
6,Rajgangpur,20,72,72,671,"20,777","99,876"
7,Subdega,14,60,60,466,"15,548","74,667"
,Total,122,636,635,"4,550","1,32,613","6,12,166"
