S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,41,53,51,106,"3,286","14,379"
1,Balisankara,2,3,2,7,224,835
2,Bisra,2,2,2,5,161,729
3,Boneigarh,3,4,4,11,439,"1,956"
4,Gurundia,2,4,4,8,217,888
5,Hemgir,7,11,11,13,624,"2,499"
6,Koida,4,5,5,9,235,"1,234"
7,Kuarmunda,5,5,5,9,153,790
8,Kutra,1,1,1,8,311,"1,414"
9,Lahunipara,2,3,2,2,24,114
10,Lathikata,4,4,4,8,96,475
11,Lephripara,2,2,2,5,180,780
12,Nuagaon,1,2,2,2,59,270
13,Subdega,2,2,2,4,126,823
14,Sundargarh Sadar,2,3,3,13,406,"1,445"
15,Tangarpali,2,2,2,2,31,127
,Total,41,53,51,106,"3,286","14,379"
