S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,2,2,2,143,429
1,Balisankara,1,1,1,12,0
2,Lahunipara,1,1,1,131,429
,Total,2,2,2,143,429
