S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,53,51,170,"6,556","27,177"
1,Atigaon,1,1,2,215,773
2,B Tulsipali,2,2,2,134,552
3,Banijora,1,1,4,277,"1,071"
4,Bankpalas,5,5,22,709,"3,007"
5,Bhainriguda,1,1,1,58,412
6,Budhidara,12,11,33,"1,263","5,094"
7,Charbhati,4,4,12,510,"2,150"
8,Deydara,8,8,27,"1,175","5,121"
9,Dundelmal,7,7,36,925,"3,848"
10,Goud Chhendia,1,1,5,196,783
11,Kalopala,1,1,1,34,317
12,Matigaon,1,1,2,232,813
13,Meriabandhli,2,2,9,326,"1,295"
14,Mundraguda,1,1,5,119,421
15,Rajpur,2,1,1,11,53
16,Taljaring,4,4,8,372,"1,467"
,Total,53,51,170,"6,556","27,177"
