S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,5,5,338,"1,504"
1,BIRAPURUSOTTAMPUR,2,2,25,335
2,Hatasahi,1,1,131,375
3,Rupadeipur,1,1,95,397
4,Teisipur,1,1,87,397
,Total,5,5,338,"1,504"
