S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,7,6,16,718,"3,533"
1,Dahisada,2,1,1,42,204
2,Madhusudanpur,2,2,2,66,292
3,Singhakhunta,3,3,13,610,"3,037"
,Total,7,6,16,718,"3,533"
