S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,5,4,7,285,"1,252"
1,Angarpada,1,1,1,57,279
2,Baidyanath,1,1,1,44,173
3,Godapalasa,2,1,2,131,568
4,Nuagaon,1,1,3,53,232
,Total,5,4,7,285,"1,252"
