S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,8,8,771,"5,237"
1,,1,1,41,596
2,,1,1,394,"3,290"
3,,1,1,26,219
4,,1,1,125,260
5,,1,1,5,52
6,,1,1,72,366
7,,1,1,53,272
8,Bara Sahi,1,1,55,182
,Total,8,8,771,"5,237"
