S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,6,6,444,"1,661"
1,Haladikunda,3,3,94,392
2,Kathapada,1,1,84,219
3,Kollar,1,1,250,"1,005"
4,MAJHIGUDA,1,1,16,45
,Total,6,6,444,"1,661"
