S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,225,625,"18,883","81,948"
1,Badachhapal,11,42,928,"3,772"
2,Baniakilinda,11,48,"1,033","4,469"
3,Chheplipali,21,37,"1,204","5,186"
4,Dholpada,15,32,908,"4,284"
5,Dimirikuda,11,26,861,"3,522"
6,Dudhianali,15,46,"1,275","6,005"
7,Gandam,6,13,611,"2,266"
8,Jharagagua,10,24,"1,015","4,315"
9,Jharamunda,6,24,541,"2,898"
10,Kalanda,6,21,655,"2,673"
11,Kansar,12,24,"1,106","4,665"
12,Kendujori,15,34,865,"3,632"
13,Laimura,10,41,"1,704","6,991"
14,Palkudar,7,13,397,"1,770"
15,Parposi,10,36,624,"3,001"
16,Sodo,13,27,718,"3,283"
17,Suguda,4,21,689,"2,807"
18,Tainsar,18,53,"1,479","6,286"
19,Talkundi,13,31,766,"3,328"
20,Tileibani,11,32,"1,504","6,795"
,Total,225,625,"18,883","81,948"
