S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,20,19,23,"1,896","9,666"
1,Badapokhari,2,2,2,130,472
2,Baunsabania,4,4,5,420,"3,698"
3,Dakhin Narsinghpur,2,2,2,128,455
4,Fatepur,2,2,2,165,683
5,Gadasahi,1,1,1,15,140
6,Iswarpur,3,3,6,537,"2,139"
7,Kandagaradi,1,1,1,209,949
8,Rai Ramchandrapur,2,1,1,34,119
9,Shyamsundarpur,1,1,1,173,690
10,Talakia,2,2,2,85,321
,Total,20,19,23,"1,896","9,666"
