S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,6,6,227,740
1,Dangalodi,1,1,0,0
2,Gajigam,2,2,37,143
3,Jemadeipentha,1,1,44,533
4,Matikana,1,1,27,64
5,Mirabali,1,1,119,0
,Total,6,6,227,740
