S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,318,294,869,"12,887","58,443"
1,Balandapada,12,12,54,965,"3,866"
2,Bandhagada,9,9,18,375,"1,702"
3,Bhrungijodi,12,11,42,707,"3,204"
4,Dimiriguda,12,10,32,700,"3,216"
5,Dindiragaon,9,8,47,433,"1,811"
6,Gocha Pada,11,9,29,450,"1,984"
7,Jejes Panga,4,4,18,378,"1,787"
8,Kasni Padar,15,13,33,473,"2,198"
9,Kela Pada,6,6,24,371,"1,922"
10,Koirimandu,14,14,37,618,"2,681"
11,Krandiballi,11,11,37,257,"1,206"
12,Luisingi,25,22,48,709,"3,160"
13,Nua Padar,10,9,40,867,"3,931"
14,Pabingia,24,23,83,"1,106","4,564"
15,Paireju,21,18,38,475,"2,160"
16,Pakari,12,10,22,193,942
17,Panga Upper Sahi,12,12,28,507,"2,258"
18,Phiringia,16,15,27,411,"1,830"
19,Polabrudi,16,15,38,492,"2,473"
20,Ratanga,11,11,28,218,"1,014"
21,Sadingia,14,11,43,613,"2,833"
22,Salaguda,11,11,30,429,"2,386"
23,Samarbandha,21,20,36,331,"1,655"
24,Taladandikia,10,10,37,809,"3,660"
,Total,318,294,869,"12,887","58,443"
