S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,60,59,83,"2,486","10,428"
1,Adapada,3,3,6,148,620
2,Ambagam,3,3,5,142,565
3,Chanamari,3,3,4,72,316
4,Chudungapur,1,1,1,19,112
5,Dayanidhipur,1,1,2,80,300
6,Dengadi,2,2,4,176,757
7,Errendra,2,2,2,42,166
8,Gangapur,4,4,5,105,472
9,Gautami,3,3,3,77,345
10,Jura,1,1,1,16,79
11,Kalarapadar,2,2,4,195,802
12,Kankarada,1,1,1,16,66
13,Kayoudia,1,1,1,9,36
14,Malabhanja,2,2,2,34,155
15,Padmapur,3,3,5,107,515
16,Patapur,1,1,1,62,248
17,Patiguda,2,2,2,66,308
18,RADHADEIPUR,1,1,1,14,59
19,Ramachandrapur,5,5,6,211,855
20,S. Gopalpur,8,8,9,310,"1,253"
21,Sahaspur,3,3,8,302,"1,191"
22,Singipur,3,3,4,150,569
23,T.gobindpur,5,4,6,133,639
,Total,60,59,83,"2,486","10,428"
