S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,19,18,23,739,"3,145"
1,Gangapur,6,6,8,251,"1,012"
2,Padmapur,2,2,3,137,570
3,Patiguda,1,1,1,12,50
4,S. Gopalpur,3,3,3,72,284
5,T.GOBINDPUR,7,6,8,267,"1,229"
,Total,19,18,23,739,"3,145"
