S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,3,3,591,673
1,Brahmagiri,1,1,300,395
2,Dharanikudi,1,1,186,0
3,Dimirisena,1,1,105,278
,Total,3,3,591,673
