S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,117,359,352,"1,475","58,726","2,37,728"
1,BODEN,14,55,54,375,"11,928","44,093"
2,Khariar,23,50,50,139,"8,058","32,014"
3,Komna,31,102,98,372,"16,043","71,377"
4,Nuapada,30,95,95,294,"14,939","61,248"
5,SINAPALI,19,57,55,295,"7,758","28,996"
,Total,117,359,352,"1,475","58,726","2,37,728"
