S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,20,32,25,49,"2,751","11,973"
1,BODEN,2,3,2,3,135,662
2,Khariar,6,8,8,18,"1,244","5,396"
3,Komna,4,9,5,13,510,"1,938"
4,Nuapada,6,8,8,11,720,"3,508"
5,SINAPALI,2,4,2,4,142,469
,Total,20,32,25,49,"2,751","11,973"
