S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,113,340,333,"1,426","55,975","2,25,755"
1,BODEN,14,53,52,372,"11,793","43,431"
2,Khariar,21,42,42,121,"6,814","26,618"
3,Komna,31,98,94,359,"15,533","69,439"
4,Nuapada,29,91,91,283,"14,219","57,740"
5,SINAPALI,18,56,54,291,"7,616","28,527"
,Total,113,340,333,"1,426","55,975","2,25,755"
