S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,3,3,500,"1,504"
1,Badsaimara,1,1,0,0
2,Chana Bahal,1,1,249,"1,009"
3,Gudighat,1,1,251,495
,Total,3,3,500,"1,504"
