S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,149,147,297,"12,192","52,187"
1,Asada,6,6,23,"1,356","5,609"
2,Khariguda,15,15,35,972,"4,326"
3,Kodama,17,17,31,"1,411","6,026"
4,Korlaghati,28,28,31,"1,234","5,792"
5,M.K. RAI,10,10,30,"1,474","5,912"
6,Madhuban,33,32,50,"1,578","7,274"
7,PENDILI,16,15,29,"1,368","5,243"
8,Sanahuma,10,10,26,"1,504","6,107"
9,Siriguda,14,14,42,"1,295","5,898"
,Total,149,147,297,"12,192","52,187"
