S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,14,25,16,23,937,"4,697"
1,Bhadrak,8,15,10,17,721,"3,639"
2,BHANDARIPOKHARI,2,5,2,2,45,206
3,BONTH,4,5,4,4,171,852
,Total,14,25,16,23,937,"4,697"
