S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,218,"1,229","1,212","5,007","2,94,295","14,60,830"
1,Basudebpur,36,180,176,480,"48,942","2,44,553"
2,Bhadrak,36,149,144,"1,395","45,734","2,28,809"
3,BHANDARIPOKHARI,23,165,162,692,"30,309","1,43,871"
4,BONTH,25,198,197,748,"34,892","1,74,558"
5,Chandabali,36,246,242,465,"51,733","2,55,074"
6,DHAMNAGAR,31,139,139,703,"38,535","1,93,176"
7,Tihidi,31,152,152,524,"44,150","2,20,789"
,Total,218,"1,229","1,212","5,007","2,94,295","14,60,830"
