S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,12,12,"1,879","2,733"
1,Balanda,1,1,0,0
2,Biyayanagar,1,1,128,0
3,Dantaribahal,1,1,154,576
4,Gurusanga,2,2,841,"1,454"
5,Kantapali,1,1,0,0
6,Kaunsabahal,2,2,257,301
7,Madhyapur,2,2,453,388
8,Raitabahal,2,2,46,14
,Total,12,12,"1,879","2,733"
