S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,4,4,394,74
1,Bahadalapur,1,1,293,0
2,Kalana,1,1,79,41
3,Mugupal,1,1,12,0
4,Samantarapur,1,1,10,33
,Total,4,4,394,74
