S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,30,29,52,"1,782","7,300"
1,Andhari Banji,1,1,1,2,11
2,Bada Karle,1,1,1,22,127
3,Bandhapali,1,1,2,124,612
4,Banki Pali,2,2,2,13,60
5,Beheramal,2,2,2,39,150
6,Bhim Tikra,2,2,4,218,839
7,China Juri,3,3,6,110,603
8,Dunguripali,2,1,1,7,20
9,Gaja Bandha,2,2,6,125,496
10,Ichapur,2,2,7,162,838
11,Linga Marni,3,3,5,131,571
12,Maya Barha,1,1,1,210,653
13,Pandakital-naikenpali,1,1,1,8,35
14,Samalaichuan,1,1,4,223,813
15,Sargul,1,1,2,68,296
16,Sohela,1,1,1,5,20
17,Sukha,1,1,2,169,662
18,Suna Pali,1,1,1,4,20
19,Tamamura,1,1,1,8,35
20,Tangar Karle,1,1,2,134,439
,Total,30,29,52,"1,782","7,300"
