S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,97,227,"19,675","79,339"
1,Bada Suku,10,18,"1,438","4,306"
2,Deoghat,4,11,998,"3,325"
3,Dumuripadar,9,15,"1,292","4,597"
4,Kendar,5,19,"1,208","4,536"
5,Kerenga,3,20,"1,678","6,587"
6,Lankaput,9,19,998,"2,772"
7,Litiguda,7,10,"1,824","6,205"
8,Mahadeiput,16,21,"1,218","4,739"
9,Manbar,5,15,"1,549","5,458"
10,Marichamal,2,5,408,"10,508"
11,Masttiput,9,25,"1,894","7,606"
12,Mathalput,1,6,"1,592","7,141"
13,Padmapur,11,32,"2,458","8,222"
14,Umuri,6,11,"1,120","3,337"
,Total,97,227,"19,675","79,339"
