S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,6,6,6,"2,641","10,027"
1,Agalpur,1,1,1,639,"2,267"
2,Bangomunda,1,1,1,"1,133","5,101"
3,Muribahal,3,3,3,500,"1,504"
4,Patnagarh,1,1,1,369,"1,155"
,Total,6,6,6,"2,641","10,027"
