S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,17,15,22,463,"1,813"
1,Badbhainro,1,1,3,64,210
2,Baghia,2,1,1,3,14
3,Charvhata,4,4,7,157,617
4,Kamsara,2,2,3,60,260
5,Kata Pali,1,1,1,38,127
6,Menda,1,1,1,17,57
7,Paikbahal,1,1,1,19,74
8,Sargaj,2,1,1,35,174
9,Singari,2,2,2,45,175
10,Tullunda,1,1,2,25,105
,Total,17,15,22,463,"1,813"
