S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,6,6,8,705,"3,150"
1,Banara,1,1,3,198,997
2,Damapada,1,1,1,120,602
3,Dhansar,1,1,1,70,325
4,Dulhanpur,2,2,2,252,901
5,Naraganga,1,1,1,65,325
,Total,6,6,8,705,"3,150"
