S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,2,2,947,"4,117"
1,Durgapur,1,1,681,"2,819"
2,Similipur,1,1,266,"1,298"
,Total,2,2,947,"4,117"
