S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,85,267,"12,281","53,886"
1,Allada,5,29,"1,363","5,778"
2,Budura,7,10,"1,047","4,046"
3,Gori Bandha,5,7,726,"2,904"
4,Hadubhangi,5,8,896,"4,056"
5,K. Sitapur,10,31,"1,488","6,855"
6,Khandova,6,19,"1,085","5,039"
7,Kharada,7,44,"1,523","6,330"
8,Kidigam,7,10,437,"2,743"
9,Partoda,10,47,971,"3,910"
10,Ranipetta,2,8,799,"3,837"
11,Sidhamadanga,6,11,649,"2,565"
12,Siyali,15,43,"1,297","5,823"
,Total,85,267,"12,281","53,886"
