S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,24,24,68,"2,242","10,288"
1,Balipata,1,1,1,6,35
2,Barasahi,2,2,8,302,"1,437"
3,Basantapur,1,1,3,245,"1,070"
4,Changudia,1,1,3,24,94
5,Durgapur,1,1,2,158,684
6,Jarapada,1,1,5,194,833
7,Jerang Dehury Sahi,1,1,1,24,96
8,Kamasala,3,3,5,162,708
9,Katada,2,2,4,60,281
10,Korada,1,1,9,86,354
11,Kosala,3,3,16,577,"3,000"
12,Kukurupeta,1,1,1,61,258
13,Machhakuta,1,1,1,32,157
14,Nuagaon,1,1,2,23,96
15,Parang,2,2,5,197,806
16,Patakamunda,1,1,1,2,40
17,Raijharan,1,1,1,89,339
,Total,24,24,68,"2,242","10,288"
