S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,5,5,498,580
1,Anandapur,1,1,85,0
2,Gopalpur,1,1,20,15
3,Jalleswarpur,1,1,273,0
4,Mulabasanta,1,1,69,314
5,Paikerapur,1,1,51,251
,Total,5,5,498,580
