S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,14,13,24,"1,005","4,362"
1,B.karadabadi,1,1,1,156,710
2,Karachuli,2,2,4,153,583
3,Karasingi,2,2,3,185,701
4,Kholokholi,1,1,4,116,522
5,Manitara,1,1,1,4,21
6,Motabadi,2,2,4,181,854
7,Pangidi,2,2,5,151,674
8,Takarada,3,2,2,59,297
,Total,14,13,24,"1,005","4,362"
