S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
,Total,,,,,,,,,,,,,,3174202,632595,118539,2423068,724767,503971,1913,
1,Odisha,24,Ganjam,351,Aska,3795,Alipur,121031,Alipur,293958,Alipur,411240,411240,Alipur,1852,503,0,1349,335,335,0,
1,Odisha,24,GANJAM,351,BEGUNIAPADA,3804,BUIRAGHARI,121213,BASANTABANA,697479,,0,0,,23,0,0,23,7,0,0,Villages taken from SBM
2,Odisha,24,GANJAM,351,BEGUNIAPADA,3804,MORDA MEKHA,121222,AGULA,694085,,0,0,,0,0,0,0,9,0,0,Villages taken from SBM
2,Odisha,24,Ganjam,351,Aska,3795,Alipur,121031,Gobanala,293957,Gobanala,411222,411222,Gobanala,242,68,0,174,67,67,0,
3,Odisha,24,Ganjam,351,Aska,3795,Alipur,121031,Karatali,293956,Karatali,411253,411253,Karatali,899,201,0,698,214,214,0,
3,Odisha,24,GANJAM,351,BHANJANAGAR,3797,MUGAGADA,121089,BHALINKIA,694449,,0,0,,54,0,54,0,2,0,0,Villages taken from SBM
4,Odisha,24,GANJAM,351,BUGUDA,3809,THAKARADA,236467,MOTTAJHARI,700927,,0,0,,0,0,0,0,285,0,0,Villages taken from SBM
4,Odisha,24,Ganjam,351,Aska,3795,Alipur,121031,Kotibadi,293955,Kotibadi,411242,411242,Kotibadi,1168,173,0,995,271,271,0,
5,Odisha,24,Ganjam,351,Aska,3795,Alipur,121031,Pathara,293954,Pathara,411243,411243,Pathara,598,480,108,10,150,150,0,
5,Odisha,24,GANJAM,351,DHARAKOTE,3799,BARADABILI,121110,KAHIRAPALI,697477,,0,0,,629,313,0,316,221,0,0,Villages taken from SBM
6,Odisha,24,GANJAM,351,DHARAKOTE,3799,DHARAKOTE,121115,KHAMAR POITARI,700081,,0,0,,0,0,0,0,8,0,0,Villages taken from SBM
6,Odisha,24,Ganjam,351,Aska,3795,Babanpur,121045,Babanapur,294006,Balarampur,411102,411239,Babanapur,5489,648,244,4597,1067,984,0,
7,Odisha,24,GANJAM,351,DHARAKOTE,3799,DHAUGAM,121113,DHAUGAM,697613,,0,0,,195,20,132,43,472,0,0,Villages taken from SBM
7,Odisha,24,Ganjam,351,ASKA,3795,BABANPUR,121045,GADAGADAHILL,294007,Gadagadahill,411233,411284,Gadagadaahill,48,32,0,16,17,17,0,
8,Odisha,24,GANJAM,351,DHARAKOTE,3799,JAGA MOHAN,121109,KHARIGUDA RAJENDRAPUR,695313,,0,0,,0,0,0,0,3,0,0,Villages taken from SBM
8,Odisha,24,Ganjam,351,Aska,3795,Babanpur,121045,Nuababanpur,294005,Nuababanpur,411238,411238,Nuababanpur,318,82,36,200,80,80,0,
9,Odisha,24,Ganjam,351,Aska,3795,Badakholi,121034,Badakholli,293971,Badakholli,411214,411214,Badakholli,2212,435,0,1777,460,0,0,
9,Odisha,24,GANJAM,351,DHARAKOTE,3799,OLAMBA,298348,BHALIAPALLI,702148,,0,0,,40,3,37,0,19,0,0,Villages taken from SBM
10,Odisha,24,GANJAM,351,DIGAPAHANDI,3789,BIJAYA LAXMINARAYANPUR,120918,PADMAPUR,693333,,0,0,,398,0,0,398,0,0,0,Villages taken from SBM
10,Odisha,24,Ganjam,351,Aska,3795,Badakholi,121034,Bhejiput,293970,Bhejiput,411215,411215,Bhejiput,835,194,0,641,155,0,0,
11,Odisha,24,Ganjam,351,Aska,3795,Badakholi,121034,Dhanija,293967,Dhanija,411207,411207,Dhanija,1820,535,0,1285,457,457,0,
11,Odisha,24,GANJAM,351,DIGAPAHANDI,3789,BIJAYA LAXMINARAYANPUR,120918,RAIPUR,674960,,0,412879,Raipada,398,0,0,398,44,0,0,Villages taken from SBM
12,Odisha,24,GANJAM,351,DIGAPAHANDI,3789,GAUDAGAM,120905,GAIDA,695315,,0,0,,0,0,0,0,24,0,0,Villages taken from SBM
12,Odisha,24,Ganjam,351,Aska,3795,Badakholi,121034,Sanakholi,293968,Sanakholi,411212,411212,Sanakholi,1303,161,73,1069,280,248,0,
13,Odisha,24,Ganjam,351,Aska,3795,Badakholi,121034,Santarapur,293969,Santarapur,411213,411213,Santarapur,784,63,0,721,186,186,0,
13,Odisha,24,GANJAM,351,DIGAPAHANDI,3789,GOKHARANAPUR,120919,BHAKTAPADMANABHAPUR,694568,,0,0,,0,0,0,0,165,0,0,Villages taken from SBM
14,Odisha,24,GANJAM,351,DIGAPAHANDI,3789,PADMANAVAPUR,120896,PADMANAVAPUR,693332,,0,0,,509,44,0,465,408,0,0,Villages taken from SBM
14,Odisha,24,Ganjam,351,Aska,3795,Balichhai,121047,Balichai,294012,Balichai,411231,411231,Balichai,1997,329,0,1668,483,73,0,
15,Odisha,24,Ganjam,351,Aska,3795,Balichhai,121047,Nirala,294011,Nirala,411244,411244,Nirala,1215,217,0,998,216,216,0,
15,Odisha,24,GANJAM,351,GANJAM,3800,KHANDADAULI,121134,KHANDADEULI,702149,,0,0,,2033,112,0,1921,1084,0,0,Villages taken from SBM
16,Odisha,24,GANJAM,351,GANJAM,3800,MALADA,121139,CHAITANYAPUR,694083,,0,0,,1106,74,0,1032,13,0,0,Villages taken from SBM
16,Odisha,24,Ganjam,351,Aska,3795,Balichhai,121047,Risipur,294010,Rishipur,411232,411232,Rishipur,1468,218,0,1250,340,340,0,
17,Odisha,24,Ganjam,351,Aska,3795,Balisira,121042,Balisira,294000,Balisira,411201,411201,Balisira,3068,565,58,2445,778,778,0,
17,Odisha,24,GANJAM,351,HINJILICUT,3808,SIKIRI,121329,P.RAMCHANDRAPUR,700080,,0,0,,6186,561,0,5625,117,0,0,Villages taken from SBM
18,Odisha,24,GANJAM,351,KHALLIKOTE,3803,BADHINUAPALLI,121196,BADHINUAPALLI,694450,,0,0,,0,0,0,0,270,0,0,Villages taken from SBM
18,Odisha,24,Ganjam,351,Aska,3795,Balisira,121042,Chandramadeipur,293999,Chandramadeipur,410766,410766,Chandramadeipur,24,0,0,24,6,6,0,
19,Odisha,24,Ganjam,351,Aska,3795,Balisira,121042,Kandhsundarapalli,293996,Kandhsundarapalli,410791,410791,Kandhsundarapalli,180,0,180,0,45,43,0,
19,Odisha,24,GANJAM,351,KHALLIKOTE,3803,BENIE,121209,MEDIPUR,694084,,0,0,,272,267,0,5,6,0,0,Villages taken from SBM
20,Odisha,24,GANJAM,351,KHALLIKOTE,3803,KANHAIPUR,121198,KANDHAGAN,700928,,0,0,,0,0,0,0,79,0,0,Villages taken from SBM
20,Odisha,24,Ganjam,351,Aska,3795,Balisira,121042,Landajuali,293998,Landajuali,410792,410792,Landajuali,3126,798,0,2328,640,100,0,
21,Odisha,24,Ganjam,351,Aska,3795,Balisira,121042,Sapuapalli,293997,Sapuapalli,411200,411200,Sapuapalli,1236,894,0,342,243,243,0,
21,Odisha,24,GANJAM,351,KHALLIKOTE,3803,KESAPUR,121208,KATHAGADA,697478,,0,0,,88,88,0,0,6,0,0,Villages taken from SBM
22,Odisha,24,GANJAM,351,KHALLIKOTE,3803,MATHURA,121200,K.GADAKASTA,694451,,0,0,,0,0,0,0,48,0,0,Villages taken from SBM
22,Odisha,24,Ganjam,351,Aska,3795,Bangarada,121046,Bangarada,294009,Khukundia,410731,410731,Khukundia,2674,398,2,2274,650,58,0,
23,Odisha,24,Ganjam,351,Aska,3795,Bangarada,121046,Nahada,294008,Nahada,410733,410733,Nahada,1945,280,0,1665,475,451,0,
23,Odisha,24,GANJAM,351,KUKUDAKHANDI,3790,ANANTAI,120933,CHANDANIA PAHAD,693335,,0,0,,17,7,0,10,5,0,0,Villages taken from SBM
24,Odisha,24,GANJAM,351,KUKUDAKHANDI,3790,DENGAPADAR,120929,K.NUAPADA,693334,,0,0,,187,0,187,0,89,0,0,Villages taken from SBM
24,Odisha,24,Ganjam,351,Aska,3795,Baragaom,121040,Baragaom,293993,Baragan,411254,411254,Baragan,7520,1469,10,6041,1707,747,0,
25,Odisha,24,Ganjam,351,Aska,3795,Baragaom,121040,Dhobapalli,293992,Dhobapalli,411258,411258,Dhobapalli,1145,135,0,1010,233,233,0,
25,Odisha,24,GANJAM,351,KUKUDAKHANDI,3790,KANKIA,259888,MAHURIGADA,694619,,0,0,,0,0,0,0,5,0,0,Villages taken from SBM
26,Odisha,24,GANJAM,351,PATRAPUR,3791,AMBAPUR,120949,KHARIA,694622,,0,0,,928,121,0,807,7,0,0,Villages taken from SBM
26,Odisha,24,Ganjam,351,Aska,3795,Benapata,121041,Benapata,293995,Benapata,410760,410760,Benapata,2309,267,38,2004,535,526,0,
27,Odisha,24,Ganjam,351,Aska,3795,Benapata,121041,Nuapalli,293994,Nuapalli,411208,411208,Nuapalli,721,96,0,625,136,136,0,
27,Odisha,24,GANJAM,351,PATRAPUR,3791,ANKULI,120944,ELAGALA,695075,,0,0,,6,0,0,6,28,0,0,Villages taken from SBM
28,Odisha,24,Ganjam,351,Patrapur,3791,BADAPUR,120956,RAJAPUR,704077,,0,413272,RAJAPUR,0,0,0,0,1,0,0,Villages taken from SBM
28,Odisha,24,Ganjam,351,Aska,3795,Bhetanai,121052,Bhetanai,294033,Bhetanai,411206,411206,Bhetanai,4454,1282,0,3172,1000,60,0,
29,Odisha,24,GANJAM,351,PATRAPUR,3791,BURUTALA,120939,BADUA,693336,,0,0,,14,2,0,12,24,0,0,Villages taken from SBM
29,Odisha,24,Ganjam,351,Aska,3795,Bhetanai,121052,Nua Bhetanai,294032,Bhetanai,411220,411220,Bhetanai,670,110,0,560,170,170,0,
30,Odisha,24,Ganjam,351,Aska,3795,Chhadiyapalli,121051,Chadheyapalli,294031,Chadheyapalli,411250,411250,Chadheyapalli,1837,719,0,1118,445,445,0,
30,Odisha,24,GANJAM,351,PATRAPUR,3791,BURUTALA,120939,J.BADAGAM,693705,,0,0,,132,0,125,7,1,0,0,Villages taken from SBM
31,Odisha,24,GANJAM,351,PATRAPUR,3791,BURUTALA,120939,SANAGAM,694620,,0,0,,35,0,35,0,6,0,0,Villages taken from SBM
31,Odisha,24,Ganjam,351,Aska,3795,Chhadiyapalli,121051,Jaganathpalli,294030,Jaganathpalli,411251,411251,Jaganathpalli,401,183,0,218,94,77,0,
32,Odisha,24,Ganjam,351,Aska,3795,Chhadiyapalli,121051,K.raisingipur,294029,Khandadeuli,411249,411204,K.Raisingipur,335,92,0,243,80,25,0,
32,Odisha,24,GANJAM,351,PATRAPUR,3791,SAMANTARPUR,120943,NARAYANPUR,695071,,0,0,,988,70,0,918,85,0,0,Villages taken from SBM
33,Odisha,24,GANJAM,351,PATRAPUR,3791,SAMANTARPUR,120943,RAYA,695073,,0,0,,96,96,0,0,21,0,0,Villages taken from SBM
33,Odisha,24,Ganjam,351,Aska,3795,Chhadiyapalli,121051,Phulasarapali,294028,Phulasarapali,411247,411247,Phulasarapali,922,174,0,748,195,195,0,
34,Odisha,24,Ganjam,351,Aska,3795,Chhadiyapalli,121051,Tumbathengapalli,294027,Tumbathengapalli,411252,411252,Tumbathengapalli,785,61,0,724,153,106,0,
34,Odisha,24,GANJAM,351,PATRAPUR,3791,SAMANTARPUR,120943,ROUGAN,695072,,0,0,,30,0,30,0,5,0,0,Villages taken from SBM
35,Odisha,24,GANJAM,351,PATRAPUR,3791,SAMANTARPUR,120943,SAMANTARAPUR,695074,,0,0,,617,81,0,536,425,0,0,Villages taken from SBM
35,Odisha,24,Ganjam,351,Aska,3795,Devabhumi,121039,Debabhumi,293991,Debabhumi,411245,411245,Debabhumi,3837,875,3,2959,776,449,0,
36,Odisha,24,GANJAM,351,PATRAPUR,3791,TUMBAGADA,120942,ANDARASINGI,695070,,0,0,,0,0,0,0,6,0,0,Villages taken from SBM
36,Odisha,24,Ganjam,351,Aska,3795,Devabhumi,121039,Karpuranuagam,293990,Karpuranuagam,411241,411241,Karpuranuagam,1632,533,0,1099,357,357,0,
37,Odisha,24,GANJAM,351,PATRAPUR,3791,TUMBAGADA,120942,SARADHAPUR,694621,,0,0,,963,54,0,909,62,0,0,Villages taken from SBM
37,Odisha,24,Ganjam,351,Aska,3795,Devabhumi,121039,Mamudiha,293989,Mamudiha,411246,411246,Mamudiha,1651,176,0,1475,385,385,0,
38,Odisha,24,GANJAM,351,PATRAPUR,3791,TURUBUDI,120940,SARANA,695069,,0,0,,36,0,36,0,5,0,0,Villages taken from SBM
38,Odisha,24,Ganjam,351,Aska,3795,Gahangu,121037,Danchandanpedhi,293984,Danchandanpedhi,411211,411211,Danchandanpedhi,766,86,0,680,150,150,0,
39,Odisha,24,Ganjam,351,Aska,3795,Gahangu,121037,Gahangu,293983,Gahangu,410732,410732,Gahangu,3546,577,0,2969,830,830,0,
39,Odisha,24,GANJAM,351,POLOSARA,3805,MATHURA,121253,DHAUMALA,694088,,0,0,,5735,1158,0,4577,60,0,0,Villages taken from SBM
40,Odisha,24,GANJAM,351,SANAKHEMUNDI,3793,TAPTAPANI GOVINDAPUR,120994,KHAPARABADA,699575,,0,0,,42,0,42,0,42,0,0,Villages taken from SBM
40,Odisha,24,Ganjam,351,Aska,3795,Gahangu,121037,Phappalapur,293982,Phappalapur,411210,411210,Phappalapur,633,91,0,542,131,131,0,
41,Odisha,24,GANJAM,351,SURADA,3807,BHAGABANPUR,298347,KAITHAPALI,695314,,0,0,,0,0,0,0,6,0,0,Villages taken from SBM
41,Odisha,24,Ganjam,351,Aska,3795,Gangapur,121030,Bhaliapalli,293953,Bhaliapalli,411309,411309,Bhaliapalli,344,86,0,258,78,52,0,
42,Odisha,24,Ganjam,351,Aska,3795,Gangapur,121030,Dantaribagada,293952,Dantaribagada,411225,411225,Dantaribagada,219,4,0,215,55,55,0,
42,Odisha,24,GANJAM,351,SURADA,3807,BHAGABANPUR,298347,KUSHAPALI,693877,,0,0,,0,0,0,0,5,0,0,Villages taken from SBM
43,Odisha,24,GANJAM,351,SURADA,3807,GOUDA GOTHA,121298,DHIMIRIPANKALA,700079,,0,0,,144,144,0,0,5,0,0,Villages taken from SBM
43,Odisha,24,Ganjam,351,Aska,3795,Gangapur,121030,Gangapur,293951,Gangapur Alias Purusotampur Sasan,411229,411229,Gangapur Alias Purusotampur Sasan,1072,191,0,881,250,141,0,
44,Odisha,24,Ganjam,351,Aska,3795,Gangapur,121030,Magurapalli,293950,Magurapalli,411226,411226,Magurapalli,614,0,0,614,125,98,0,
44,Odisha,24,GANJAM,351,SURADA,3807,GOUDA GOTHA,121298,MADHAPUR,694700,,0,0,,0,0,0,0,5,0,0,Villages taken from SBM
45,Odisha,24,GANJAM,351,SURADA,3807,LATHIPADA,121293,KHILABADI(TINIKHANDIYA),694933,,0,0,,172,0,17,155,32,0,0,Villages taken from SBM
45,Odisha,24,Ganjam,351,Aska,3795,Gangapur,121030,Sahaspur,293949,Sahaspur,411195,411235,Sahapur,1737,26,0,1711,373,158,0,
46,Odisha,24,Ganjam,351,Aska,3795,Gunthupada,121029,Golabandapalli,293947,Golabandapalli,411197,411197,Golabandapalli,97,0,97,0,21,21,0,
47,Odisha,24,Ganjam,351,Aska,3795,Gunthupada,121029,Gunthapada,293948,Gunthapada,411223,411223,Gunthapada,4339,400,4,3935,1013,483,0,
48,Odisha,24,Ganjam,351,Aska,3795,Gunthupada,121029,Jaganathpur,293946,Jaganathpur,411204,411199,Jaganathpursasan,90,0,0,90,18,0,0,
49,Odisha,24,Ganjam,351,Aska,3795,Gunthupada,121029,Khandabandha,293945,Khandabandha,411224,411224,Khandabandha,954,351,0,603,204,204,0,
50,Odisha,24,Ganjam,351,Aska,3795,Gunthupada,121029,Sumantapalli,293944,Sumantapalli,411198,411198,Sumantapalli,794,61,0,733,201,201,0,
51,Odisha,24,Ganjam,351,Aska,3795,Haridapadar,121027,Haradapadar,293938,Haradapadar,411278,411278,Haradapadar,1561,561,0,1000,375,375,0,
52,Odisha,24,Ganjam,351,Aska,3795,Haridapadar,121027,Kumbhari,293937,Kumbhari,411257,411257,Kumbhari,3033,732,0,2301,692,216,0,
53,Odisha,24,Ganjam,351,Aska,3795,Haridapadar,121027,Magura,293936,Magura,411259,411259,Magura,1234,187,0,1047,267,267,0,
54,Odisha,24,Ganjam,351,Aska,3795,Haridapadar,121027,Mantapada,293935,Mantapada,411279,411279,Mantapada,2581,416,0,2165,541,185,0,
55,Odisha,24,Ganjam,351,Aska,3795,Haridapadar,121027,Venkatraipalli,293934,Venkatraipalli,411277,411277,Venkatraipalli,1125,172,0,953,250,250,0,
56,Odisha,24,Ganjam,351,Aska,3795,Jayapur,121028,Agraharamnarayanpur,293943,AgraharamNarayanpur,411275,411275,AgraharamNarayanpur,101,101,0,0,21,21,0,
57,Odisha,24,Ganjam,351,Aska,3795,Jayapur,121028,Jayapur,293942,Jayapur,411260,411260,Jayapur,2568,552,0,2016,540,75,0,
58,Odisha,24,Ganjam,351,Aska,3795,Jayapur,121028,Kendupadar,293941,Kendupadara,411280,410734,Kendupadara,1574,179,0,1395,315,315,0,
59,Odisha,24,Ganjam,351,Aska,3795,Jayapur,121028,Padhala,293940,Padhala,411261,411261,Padhala,1836,706,0,1130,383,383,0,
60,Odisha,24,Ganjam,351,Aska,3795,Jayapur,121028,Tarasingi,293939,Tarasingi,411276,411276,Tarasingi,1368,371,0,997,241,241,0,
61,Odisha,24,Ganjam,351,Aska,3795,Kalasandhapur,121033,Kalasandhapur,293966,Kalasandhapur,411263,411263,Kalasandhapur,5949,1380,25,4544,1843,317,0,
62,Odisha,24,Ganjam,351,Aska,3795,Kalasandhapur,121033,Makundapur,650815,Makundapur (CT),411296,411296,Makundapur (CT),1500,250,0,1250,285,0,0,
63,Odisha,24,Ganjam,351,Aska,3795,Kalasandhapur,121033,Narasinghapalli,293964,Narasinghapalli,411262,411262,Narasinghapalli,200,25,0,175,35,0,0,
64,Odisha,24,Ganjam,351,Aska,3795,Kamagada,121049,Asuraipalli,294019,Asuraipalli,411209,411209,Asuraipalli,1091,251,0,840,215,215,0,
65,Odisha,24,Ganjam,351,Aska,3795,Kamagada,121049,Baghuapalli,294018,Baghuapalli,411202,411202,Baghuapalli,27,27,0,0,6,0,0,
66,Odisha,24,Ganjam,351,Aska,3795,Kamagada,121049,Jaganathpursasan,294017,Jaganathpursasan,411199,411194,Jaganathpursasan,109,0,0,109,19,19,0,
67,Odisha,24,Ganjam,351,Aska,3795,Kamagada,121049,Kamagada,294016,Kamagada,411203,411203,Kamagada,1960,585,0,1375,435,435,0,
68,Odisha,24,Ganjam,351,Aska,3795,Kendupadar,121048,Chatula,294015,Chatula,410735,410735,Chatula,601,15,0,586,133,11,0,
69,Odisha,24,Ganjam,351,Aska,3795,Kendupadar,121048,Kendupadara,294014,Kendupadara,410734,411280,Kendupadara,1753,131,1,1621,392,392,0,
70,Odisha,24,Ganjam,351,Aska,3795,Kendupadar,121048,Rankuda,294013,Rankuda,410761,410761,Rankuda,543,126,198,219,119,119,0,
