S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
19,Odisha,24,BALESWAR,344,BALESHWAR,3701,OLANDASARGAN,119140,MIRJAPUR,697243,,0,0,,88,19,0,69,13,0,0,Villages taken from SBM
19,Odisha,24,Balasore,344,Bahanaga,3707,Bahanaga,119292,Ichhapur,280970,Ichhapur,393839,393839,Ichhapur,921,473,59,389,190,190,0,
20,Odisha,24,Balasore,344,Bahanaga,3707,Bahanaga,119292,Kamaripur,280968,Kamaripur,393840,393840,Kamaripur,696,49,37,610,147,147,0,
20,Odisha,24,BALESWAR,344,BALESHWAR,3701,RUPSA SAMIL HASANPUR,298793,RUPSA,697242,,0,0,,1616,113,412,1091,275,0,0,Villages taken from SBM
21,Odisha,24,BALESWAR,344,BALESHWAR,3701,SINDHIA,119150,BHIMADIA,697571,,0,0,,94,38,0,56,18,0,0,Villages taken from SBM
21,Odisha,24,Balasore,344,Bahanaga,3707,Bahanaga,119292,Krushnapur,280967,Krushnapur,393838,393838,Krushnapur,306,91,26,189,81,73,0,
22,Odisha,24,Balasore,344,Bahanaga,3707,Bahanaga,119292,Sathi,280966,Sathi,393835,393835,Sathi,2151,783,19,1349,476,473,0,
22,Odisha,24,BALESWAR,344,BALESHWAR,3701,SRIRAMAPUR,119152,BARADIHA,692597,,0,0,,0,0,0,0,68,0,0,Villages taken from SBM
23,Odisha,24,BALESWAR,344,BALESHWAR,3701,SRIRAMAPUR,119152,NARANDIHA,696983,,0,0,,10,10,0,0,14,0,0,Villages taken from SBM
23,Odisha,24,Balasore,344,Bahanaga,3707,Bishnupur,119294,Baniha,280982,Baniha,393936,393936,Baniha,95,26,0,69,24,11,0,
24,Odisha,24,Balasore,344,Bahanaga,3707,Bishnupur,119294,Basudevpur,280984,Basudebpur,393951,393951,Basudebpur,149,0,0,149,27,27,0,
24,Odisha,24,BALESWAR,344,BALIAPAL,3704,BADAS,119205,MANIKSIMULIA,692603,,0,0,,619,185,0,434,92,0,0,Villages taken from SBM
25,Odisha,24,BALESWAR,344,BALIAPAL,3704,BADAS,119205,TAHALIA NO. 1,693588,,0,0,,0,0,0,0,170,0,0,Villages taken from SBM
25,Odisha,24,Balasore,344,Bahanaga,3707,Bishnupur,119294,Bishnupur,280983,Bishnupur,393945,393945,Bishnupur,3801,1099,13,2689,917,842,0,
26,Odisha,24,Balasore,344,Bahanaga,3707,Bishnupur,119294,Daradadeuli,280987,Daradadeuli,393944,393944,Daradadeuli,84,0,0,84,19,19,0,
26,Odisha,24,BALESWAR,344,BALIAPAL,3704,BISHNUPUR,119212,IKADAPALA,695345,,0,0,,1207,181,0,1026,415,0,0,Villages taken from SBM
27,Odisha,24,BALESWAR,344,BALIAPAL,3704,NIKHIRA,119224,MAJHIPADA,692732,,0,0,,827,0,0,827,166,0,0,Villages taken from SBM
27,Odisha,24,Balasore,344,Bahanaga,3707,Bishnupur,119294,Debendra Pur,280986,Debendrapur,393952,393952,Debendrapur,1953,233,261,1459,446,417,0,
28,Odisha,24,Balasore,344,Bahanaga,3707,Bishnupur,119294,Samsara Pur,280988,Samsarpur,393935,393935,Samsarpur,29,0,0,29,7,5,0,
28,Odisha,24,BALESWAR,344,BASTA,3703,BARUNAGADIA,298763,DAMODAR PUR,697575,,0,0,,103,0,0,103,7,0,0,Villages taken from SBM
29,Odisha,24,BALESWAR,344,BASTA,3703,BARUNAGADIA,298763,MULIDA,694137,,0,0,,850,126,5,719,207,0,0,Villages taken from SBM
29,Odisha,24,Balasore,344,Bahanaga,3707,Bishnupur,119294,Srikrushnapur,280985,Srikrishnapur,393950,393950,Srikrishnapur,57,0,0,57,15,15,0,
30,Odisha,24,Balasore,344,Bahanaga,3707,Boripada,119293,Atasapur,280981,Ataspur,393923,393923,Ataspur,956,785,0,171,241,241,0,
30,Odisha,24,BALESWAR,344,BASTA,3703,BARUNAGADIA,298763,SADANANDPUR,694136,,0,0,,1062,114,0,948,380,0,0,Villages taken from SBM
31,Odisha,24,BALESWAR,344,BASTA,3703,BRAHMANDA,119182,MADHUBHANDA I,692602,,0,0,,0,0,0,0,112,0,0,Villages taken from SBM
31,Odisha,24,Balasore,344,Bahanaga,3707,Boripada,119293,Balarampur,280973,Balarampur,393928,393928,Balarampur,730,369,0,361,186,186,0,
32,Odisha,24,Balasore,344,Bahanaga,3707,Boripada,119293,Baripada,280978,Baripada,393939,393939,Baripada,2162,1638,0,524,541,532,0,
32,Odisha,24,BALESWAR,344,BASTA,3703,DUDHAHANSA,298766,PAIKAPADA,695343,,0,0,,328,148,0,180,74,0,0,Villages taken from SBM
33,Odisha,24,BALESWAR,344,BASTA,3703,KAINAGARI,298768,NISCHINTAPUR,695344,,0,0,,534,14,0,520,39,0,0,Villages taken from SBM
33,Odisha,24,Balasore,344,Bahanaga,3707,Boripada,119293,Jagannthpur,280974,Jaganathpur,393794,393926,Jagannathpur,1383,48,14,1321,329,329,0,
34,Odisha,24,Balasore,344,Bahanaga,3707,Boripada,119293,Karanjabindha,280976,Karanjabindha,393932,393932,Karanjabindha,1239,444,0,795,347,347,0,
34,Odisha,24,BALESWAR,344,BASTA,3703,MATHANI,119188,GOBINDPURPATNA,693587,,0,0,,18,0,0,18,45,0,0,Villages taken from SBM
35,Odisha,24,BALESWAR,344,BASTA,3703,MUKULISI,119189,KULADIHA,701518,,0,0,,340,20,20,300,5,0,0,Villages taken from SBM
35,Odisha,24,Balasore,344,Bahanaga,3707,Boripada,119293,Kheranga,280977,Kheranga,393941,393941,Kheranga,843,429,2,412,195,195,0,
36,Odisha,24,Balasore,344,Bahanaga,3707,Boripada,119293,Laxminarayanpur Patna,660774,Bishnuchak,393853,393929,Laxminarayanpurpatana,413,3,5,405,102,102,0,
36,Odisha,24,BALESWAR,344,BASTA,3703,NATAKATA,119192,SAMSUNDAR PUR,694138,,0,0,,535,57,15,463,80,0,0,Villages taken from SBM
37,Odisha,24,BALESWAR,344,BHOGRAI,3705,DURPAL,298718,BARBATIA,694139,,0,0,,437,5,0,432,165,0,0,Villages taken from SBM
37,Odisha,24,Balasore,344,Bahanaga,3707,Boripada,119293,Madanapur,280980,Madanapur,393922,393922,Madanapur,474,351,0,123,147,147,0,
38,Odisha,24,Balasore,344,Bahanaga,3707,Boripada,119293,Maharudrapur,280975,Maharudrapur,393940,393940,Maharudrapur,1447,475,1,971,373,373,0,
38,Odisha,24,BALESWAR,344,BHOGRAI,3705,GOCHIDA TEGHARI,298740,MANGARAJPUR,694140,,0,0,,319,55,0,264,69,0,0,Villages taken from SBM
39,Odisha,24,BALESWAR,344,BHOGRAI,3705,SANKHARI,119257,CHAKANAFRAI,695737,,0,0,,512,139,0,373,275,0,0,Villages taken from SBM
39,Odisha,24,Balasore,344,Bahanaga,3707,Boripada,119293,Osanga,280979,Osanga,393927,393927,Osanga,434,389,0,45,109,97,0,
40,Odisha,24,Balasore,344,Bahanaga,3707,Chakajagannathpur,119295,Atapur,280992,Atapur,393890,393890,Atapur,587,138,0,449,140,140,0,
40,Odisha,24,BALESWAR,344,JALESWAR,3706,D.P. PUR,119267,PRAHARAJPUR,692605,,0,0,,1104,375,126,603,128,0,0,Villages taken from SBM
41,Odisha,24,BALESWAR,344,JALESWAR,3706,GOPIMOHANPUR,119268,GOPIMOHAMPUR,695738,,0,0,,1367,182,23,1162,467,0,0,Villages taken from SBM
41,Odisha,24,Balasore,344,Bahanaga,3707,Chakajagannathpur,119295,Basubrahmapur,280989,Basubrahmapur,393889,393889,Basubrahmapur,533,235,0,298,137,101,0,
