S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
38,Odisha,24,Malkangiri,369,Chitrakonda,3944,Badapadar,124149,Pabliguda,316875,Pabiliguda,430665,430665,Pabiliguda,70,31,36,3,23,13,0,
38,Odisha,24,MALKANGIRI,369,MATHILI,3943,KATAPALLI,124130,PITATANGA,701726,,0,0,,0,0,0,0,207,0,0,Villages taken from SBM
39,Odisha,24,Malkangiri,369,Chitrakonda,3944,Badapadar,124149,Padmagiri,316879,Padmagiri,430669,430669,Padmagiri,393,0,387,6,125,29,0,
39,Odisha,24,MALKANGIRI,369,MATHILI,3943,NAIKGUDA,124132,TANGAGUDA,700993,,0,0,,564,9,524,31,130,0,0,Villages taken from SBM
40,Odisha,24,Malkangiri,369,Chitrakonda,3944,Badapadar,124149,Panasgandhi,316861,Paneshgandhi,430723,430723,Paneshgandhi,320,0,318,2,95,0,0,
41,Odisha,24,Malkangiri,369,Chitrakonda,3944,Badapadar,124149,Phulagandhi,316859,Phulagandhi,430721,430721,Phulagandhi,128,0,128,0,35,0,0,
42,Odisha,24,Malkangiri,369,Chitrakonda,3944,Badapadar,124149,Phulapadar,316868,Phulpader,430621,430621,Phulpader,278,0,277,1,86,0,0,
43,Odisha,24,Malkangiri,369,Chitrakonda,3944,Badapadar,124149,Rekhapali,316877,Rekhapali,430667,430667,Rekhapali,591,0,591,0,153,93,0,
44,Odisha,24,Malkangiri,369,Chitrakonda,3944,Badapadar,124149,Sariapalli,316871,Sariapali,430624,430624,Sariapali,188,34,152,2,54,13,0,
45,Odisha,24,Malkangiri,369,Chitrakonda,3944,Chitrakonda,124204,Chitrakonda,317411,Chitrakonda (CT),430673,430673,Chitrakonda (CT),4648,579,1788,2281,1372,36,0,
46,Odisha,24,Malkangiri,369,Chitrakonda,3944,Chitrakonda,124204,Doraghat,624489,Doraghata,430628,430628,Doraghata,80,65,15,0,24,0,0,
47,Odisha,24,Malkangiri,369,Chitrakonda,3944,Dhuliput,298171,Anibirida,316912,Anibirida,430698,923638,ANIBIRIDA,124,0,124,0,24,15,0,
48,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,DHULIPUT,298171,CHIKPANASA,316888,Chikipanesa,430749,923632,CHIKPANASA,257,0,257,0,58,16,0,
49,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,DHULIPUT,298171,CHITANGACHILIKA,316908,Chitangachilika,430703,923633,CHITAMCHILIKA,121,0,121,0,26,24,0,
