S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
,Total,,,,,,,,,,,,,,999340,156713,609536,233091,239725,182238,98,
1,Odisha,24,Rayagada,367,Bissam Cuttack,3922,Bethiapada,123806,Banapur,313461,Banapur,425450,425450,Banapur,470,152,288,30,115,115,0,
1,Odisha,24,RAYAGADA,367,BISSAMCUTTACK,3922,BISSAM CUTTACK,123799,BITAGUDA,313392,,0,425246,BITAGUDA,0,0,0,0,11,0,0,Villages taken from SBM
2,Odisha,24,RAYAGADA,367,BISSAMCUTTACK,3922,BISSAM CUTTACK,123799,POTRAGUDA,693680,,0,0,,139,0,129,10,155,0,0,Villages taken from SBM
2,Odisha,24,Rayagada,367,Bissam Cuttack,3922,Bethiapada,123806,Bethiapada,313462,Bethiapada,425404,425404,Bethiapada,825,257,408,160,228,228,0,
3,Odisha,24,Rayagada,367,Bissam Cuttack,3922,Bethiapada,123806,Bijibanga,313463,Bijibanga alias Murtiguda,425412,425412,Bijibanga alias Murtiguda,10,0,10,0,3,3,0,
3,Odisha,24,RAYAGADA,367,BISSAMCUTTACK,3922,DUMURUPALLI,123811,GOUDAGUDA,313571,Gaudaguda,425359,425359,GOUDAGUDA,193,0,193,0,7,0,0,Villages taken from SBM
4,Odisha,24,RAYAGADA,367,BISSAMCUTTACK,3922,HATA MUNIGUDA,123810,KADRABANDILI,313544,,0,424958,KADRABANDILI,12,0,0,12,4,0,0,Villages taken from SBM
4,Odisha,24,Rayagada,367,Bissam Cuttack,3922,Bethiapada,123806,Chilikarambhu,313464,Chilikarambhu,425373,425373,Chilikarambhu,49,0,49,0,13,13,0,
5,Odisha,24,Rayagada,367,Bissam Cuttack,3922,Bethiapada,123806,Dhepaguda,313465,Dhepaguda,425234,425234,Dhepaguda,321,0,11,310,60,60,0,
5,Odisha,24,RAYAGADA,367,CHANDRAPUR,3923,DANGASORADA,123815,MADIGUDA,696965,,0,0,,205,0,205,0,72,0,0,Villages taken from SBM
6,Odisha,24,RAYAGADA,367,CHANDRAPUR,3923,HANUMANTHPUR,123820,PANKALGUDI,696803,,0,0,,34,0,34,0,57,0,0,Villages taken from SBM
6,Odisha,24,Rayagada,367,Bissam Cuttack,3922,Bethiapada,123806,Kapapadar,313466,Kapapadar,425372,425372,Kapapadar,418,3,389,26,95,95,0,
7,Odisha,24,Rayagada,367,Bissam Cuttack,3922,Bethiapada,123806,Karlakona,313472,Karlakona,425172,425402,Munukalupada alias Karlakona,299,0,287,12,60,60,0,
7,Odisha,24,RAYAGADA,367,GUDARI,3924,MADHUBANA,123825,KUTUDUGONDA,694529,,0,0,,80,0,80,0,39,0,0,Villages taken from SBM
8,Odisha,24,RAYAGADA,367,GUDARI,3924,PENDILI,123829,KATIGUDA,694530,,0,0,,260,0,260,0,114,0,0,Villages taken from SBM
8,Odisha,24,Rayagada,367,Bissam Cuttack,3922,Bethiapada,123806,Khuntibadi,313468,Khuntibadi,425417,425417,Khuntibadi,253,44,206,3,67,67,0,
9,Odisha,24,Rayagada,367,Bissam Cuttack,3922,Bethiapada,123806,Kindili,313467,Kindili,425407,425407,Kindili,275,0,275,0,55,55,0,
9,Odisha,24,RAYAGADA,367,GUNUPUR,3925,BAGASALA,123834,BHALLERI,696966,,0,0,,0,0,0,0,105,0,0,Villages taken from SBM
10,Odisha,24,RAYAGADA,367,KALYANSINGPUR,3926,BUDAGUDA,123850,CHAMARJODI,696967,,0,0,,40,40,0,0,49,0,0,Villages taken from SBM
10,Odisha,24,Rayagada,367,Bissam Cuttack,3922,Bethiapada,123806,Kudabhatta,313469,Kadabhata,425406,425440,Kudobhata,226,0,226,0,51,51,0,
11,Odisha,24,Rayagada,367,Bissam Cuttack,3922,Bethiapada,123806,Kumbharbadi,313470,Kumbharbadi,425416,425416,Kumbharbadi,217,0,103,114,61,61,0,
11,Odisha,24,RAYAGADA,367,KALYANSINGPUR,3926,PARSALI,123855,DHANPADAR,703126,,0,0,,27,0,27,0,12,0,0,Villages taken from SBM
12,Odisha,24,RAYAGADA,367,KALYANSINGPUR,3926,SERIGUMMA,123853,KUSPAI,703125,,0,0,,16,0,0,16,14,0,0,Villages taken from SBM
12,Odisha,24,Rayagada,367,Bissam Cuttack,3922,Bethiapada,123806,Laktiguda,313471,Bishamakatak (CT),425462,425408,Lokotiguda,228,0,208,20,54,54,0,
13,Odisha,24,Rayagada,367,Bissam Cuttack,3922,Bethiapada,123806,Munigam,313473,Munigam,425414,425414,Munigam,312,0,306,6,65,65,0,
