S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,5,5,9,287,"1,250"
1,Dhanatara,1,1,1,59,195
2,K.karadakana,3,3,6,195,913
3,Khirida,1,1,2,33,142
,Total,5,5,9,287,"1,250"
