S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,27,27,41,"4,429","17,914"
1,Badibahal,2,2,3,346,"1,847"
2,Badimunda,1,1,1,79,330
3,Banipali,3,3,5,291,"1,308"
4,Budhipadar,1,1,1,72,304
5,Burda,1,1,1,33,151
6,Gs Dunguripali,2,2,3,143,670
7,Hirapur,2,2,2,321,"1,390"
8,Jogisarda,2,2,4,310,"1,274"
9,Kandajuri,1,1,1,38,195
10,Kusanga,1,1,1,26,102
11,Kusmel,1,1,1,191,676
12,Kuten Palli,1,1,2,154,645
13,Loisingha,2,2,5,"1,242","4,323"
14,Magurbeda,1,1,1,265,"1,092"
15,Rata Khandi,3,3,6,715,"2,681"
16,Taliudar,1,1,1,175,784
17,Uppar Bahal,2,2,3,28,142
,Total,27,27,41,"4,429","17,914"
