S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,24,21,29,"1,539","5,788"
1,Chipakur,3,3,3,149,557
2,Dandabadi,5,5,7,224,774
3,Haladikunda,4,1,1,96,279
4,Kenduguda,6,6,9,409,"1,571"
5,Pendapoda,2,2,2,247,916
6,Pujariguda,2,2,3,230,942
7,Ramagiri,2,2,4,184,749
,Total,24,21,29,"1,539","5,788"
