S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,11,11,31,626,"2,684"
1,Badabarba,1,1,9,248,"1,063"
2,Gumamaha,1,1,2,75,315
3,Indragada,3,3,3,26,119
4,Karada,1,1,2,24,129
5,Manikeswar,2,2,7,190,789
6,Ranaba,3,3,8,63,269
,Total,11,11,31,626,"2,684"
