S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,8,8,"2,162","8,816"
1,Khalarada,1,1,458,"1,262"
2,Korakora,1,1,138,564
3,Kuranga Pradhan,1,1,49,247
4,Kuranga Sasan,3,3,"1,161","5,378"
5,Nagari,1,1,121,702
6,Sainso,1,1,235,663
,Total,8,8,"2,162","8,816"
