S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,210,466,"18,572","78,558"
1,Ameda,7,10,478,"2,308"
2,Dambala,8,26,"1,117","4,786"
3,Engarsingi,5,14,584,"2,466"
4,Gandahati,17,38,"1,527","6,925"
5,Gangabada,23,33,832,"3,031"
6,Jiranga,15,29,"1,206","5,068"
7,JOLANGA,9,25,838,"4,044"
8,Kainpur,23,39,"1,153","4,895"
9,Karadasingi,11,36,"1,403","5,946"
10,Kerandi,8,19,317,"1,586"
11,Kumulsingi,3,11,406,"1,786"
12,Lailai,10,21,918,"3,455"
13,LAXMIPUR,14,27,872,"4,907"
14,Loba,3,9,522,"1,861"
15,Marlaba,7,28,889,"3,967"
16,Narayanapur,5,12,830,"3,537"
17,Putara,10,24,"1,033","3,283"
18,Rayagada,5,9,"1,114","5,417"
19,S.KARADASINGI,15,28,896,"3,622"
20,Sanatundi,7,17,949,"3,051"
21,Talamunda,5,11,688,"2,617"
,Total,210,466,"18,572","78,558"
