S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,32,32,37,704,"2,980"
1,Gochabadi,13,13,15,245,"1,108"
2,M.tentulia,1,1,1,44,142
3,Nmina,1,1,1,25,107
4,Pandripada,17,17,20,390,"1,623"
,Total,32,32,37,704,"2,980"
