S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,5,5,521,"4,391"
1,Balipasi,1,1,105,111
2,Hanumanpur,1,1,41,78
3,Kuluma,1,1,20,69
4,Rengali,1,1,106,0
5,Samal,1,1,249,"4,133"
,Total,5,5,521,"4,391"
