S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,240,"1,920","1,890","4,662","3,24,889","13,08,828"
1,Bandhugaon,13,148,147,169,"17,301","71,600"
2,Boipariguda,20,256,250,632,"32,263","1,20,503"
3,Borigumma,31,148,144,408,"41,227","1,69,482"
4,Dasamantapur,16,165,159,381,"22,693","87,818"
5,Jeypore,22,116,115,372,"30,996","1,31,951"
6,Koraput,14,97,96,226,"19,670","70,362"
7,Kotpad,17,95,95,239,"26,397","1,07,276"
8,Kundra,16,84,83,264,"19,052","75,536"
9,Lamtaput,15,169,168,281,"17,359","63,484"
10,Laxmipur,13,101,99,190,"17,661","70,431"
11,Nandapur,23,217,216,522,"26,807","1,06,869"
12,Narayanpatna,9,126,125,215,"10,093","48,364"
13,Pottangi,14,102,99,485,"20,305","90,969"
14,Semiliguda,17,96,94,278,"23,065","94,183"
,Total,240,"1,920","1,890","4,662","3,24,889","13,08,828"
