S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,3,3,57,58
1,Jaunra Bhaunra,1,1,33,5
2,Kadodara,1,1,24,53
3,Kalapathar,1,1,0,0
,Total,3,3,57,58
