S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,16,14,14,"1,555","7,220"
1,B. Nuagan,3,3,3,491,"2,121"
2,Badapur,2,1,1,20,94
3,Gundra,1,1,1,95,396
4,Jarada,1,1,1,34,171
5,Kesaripada,1,1,1,78,409
6,Kharanipada,1,1,1,276,"1,081"
7,Khariaguda,2,2,2,74,385
8,Padaige,1,1,1,15,60
9,Patrapur,1,1,1,77,310
10,Samantiapalli,1,1,1,200,818
11,Turubudi,2,1,1,195,"1,375"
,Total,16,14,14,"1,555","7,220"
