S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,173,160,238,"5,369","24,916"
1,Ambapur,5,4,5,159,525
2,Ankuli,38,37,54,947,"4,465"
3,B. Nuagan,3,3,3,491,"2,121"
4,Badapur,6,5,5,73,312
5,Baranga,1,1,1,40,84
6,Burutal,20,17,38,573,"2,648"
7,Gundra,1,1,1,95,396
8,Jarada,1,1,1,34,171
9,Kesaripada,1,1,1,78,409
10,Kharanipada,1,1,1,276,"1,081"
11,Khariaguda,12,12,15,218,"1,111"
12,Mandarada,4,4,6,41,185
13,Padaige,1,1,2,32,134
14,Patrapur,2,2,2,100,409
15,Samantarapur,16,12,15,243,"1,075"
16,Samantiapalli,1,1,1,200,818
17,Surangi,1,1,1,14,55
18,Tandipur,1,1,2,17,70
19,Tumba,33,31,52,888,"4,381"
20,Turubudi,25,24,32,850,"4,466"
,Total,173,160,238,"5,369","24,916"
