S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,4,4,362,"4,633"
1,Basuaghai,1,1,0,0
2,Malipada,1,1,208,"2,047"
3,Ranasingpur,2,2,154,"2,586"
,Total,4,4,362,"4,633"
