S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,27,23,35,"2,604","12,491"
1,Barimunda,2,2,2,75,393
2,Basuaghai,4,3,5,444,"1,969"
3,Dadha,2,2,3,320,"1,289"
4,Dhauli,4,4,5,257,"1,405"
5,Kalarahanga,2,2,4,432,"1,960"
6,Kalyanpur,1,1,2,136,607
7,Kantabada,1,1,1,40,200
8,Lingipur,2,2,2,270,"1,459"
9,Malipada,2,1,1,236,"1,169"
10,Ranasingpur,3,1,1,61,347
11,Sisupal,2,2,4,118,633
12,Tamando,1,1,1,22,129
13,Tikarpada,1,1,4,193,931
,Total,27,23,35,"2,604","12,491"
