S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,6,6,14,"1,034","4,155"
1,Dingar,2,2,5,519,"2,027"
2,Durgapur,2,2,6,445,"1,817"
3,Kunjuri,1,1,2,52,239
4,Radhakantapur,1,1,1,18,72
,Total,6,6,14,"1,034","4,155"
