S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,149,"1,400","47,040","2,35,287"
1,Ambroli,2,24,910,"4,725"
2,Andheipalli,3,54,841,"4,119"
3,Arnapal,5,45,"1,253","6,262"
4,Bahudarada,1,11,649,"3,210"
5,Bandhagan,3,34,903,"4,246"
6,Bania,4,55,"1,245","6,280"
7,BANITIA,5,55,"1,736","8,831"
8,Baudpur,2,22,821,"4,073"
9,Bental,8,73,"1,744","8,261"
10,Berhampur,6,52,"1,487","7,759"
11,BETADA,6,42,"1,036","5,611"
12,Bishnupurbindha,7,42,"1,371","7,603"
13,Chandigan,3,31,"1,038","4,980"
14,Charampa,4,26,833,"4,219"
15,Daisingh,3,31,922,"5,431"
16,Ereda,2,20,727,"3,707"
17,EREIN,1,42,"1,539","8,143"
18,Gelpur,3,36,"1,288","6,451"
19,Geltua,4,48,"2,047","9,718"
20,Goramati,2,23,821,"3,857"
21,Gujidarada,1,9,"2,304","11,745"
22,Haripur,4,43,"1,766","9,514"
23,Jagadalpur,6,44,"1,342","6,272"
24,Kalei,8,54,"1,763","8,970"
25,Kaupur,9,39,"1,731","7,878"
26,Kedarpur,6,52,"1,354","6,932"
27,KHANDATADA,4,43,"1,481","7,328"
28,KODABARUAN,5,37,"1,241","6,210"
29,KORKORA,5,40,"1,013","5,312"
30,OLANGA,3,36,"1,183","5,795"
31,Parasinga,5,38,722,"3,821"
32,Rahanja,2,52,"1,366","7,037"
33,Rambhila,4,22,"1,259","5,859"
34,RANDIA,6,55,"2,237","10,647"
35,Sabarang,2,21,"1,419","6,785"
36,Sahada,5,49,"1,648","7,696"
,Total,149,"1,400","47,040","2,35,287"
