S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,5,5,"1,306","6,478"
1,Bental,1,1,25,210
2,Haripur,1,1,403,"2,423"
3,Jagadalpur,1,1,262,789
4,Kalei,1,1,6,298
5,RANDIA,1,1,610,"2,758"
,Total,5,5,"1,306","6,478"
