S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,9,9,26,666,"2,623"
1,Bampa,2,2,13,260,"1,031"
2,Dandiri,2,2,6,159,635
3,Kunua,1,1,1,24,97
4,Madhapur,2,2,4,121,450
5,Nabakishorepur,2,2,2,102,410
,Total,9,9,26,666,"2,623"
