S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,122,461,"20,826","87,354"
1,Abada,5,10,481,"2,174"
2,Bagasala,6,13,918,"3,413"
3,Bhimpur,9,13,870,"3,500"
4,Chalkamba,6,16,"1,295","5,120"
5,Chinasari,4,31,986,"5,313"
6,Dambasara,5,23,"1,782","7,076"
7,Gadiakhala,6,11,847,"3,079"
8,Ghanantri,4,14,"1,091","4,185"
9,Gothalpadar,13,30,837,"3,687"
10,J.n.pur,11,28,"1,302","5,349"
11,Jaltar,8,39,"1,378","5,962"
12,Kulusingi,8,44,"1,217","5,736"
13,Morama,4,24,598,"2,764"
14,Puttasing,7,35,"1,656","6,663"
15,Regeda,4,26,"1,248","5,139"
16,Sirijholi,6,23,"1,183","4,943"
17,Sogada,3,19,"1,227","5,348"
18,Titimiri,8,39,870,"3,553"
19,Tolona,5,23,"1,040","4,350"
,Total,122,461,"20,826","87,354"
