S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,28,24,46,"1,297","5,177"
1,Anantei,2,1,2,58,258
2,Balipada,1,1,3,91,366
3,Banthapalli,6,6,8,260,948
4,Dengapadar,3,2,3,105,459
5,Kankia,11,9,24,613,"2,553"
6,Lanjia,2,2,2,99,332
7,Mahuda,3,3,4,71,261
,Total,28,24,46,"1,297","5,177"
