S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,3,3,"1,953","7,456"
1,Gulnagar,1,1,7,42
2,Nikirei,1,1,833,"3,899"
3,SHYAMSUNDARPUR,1,1,"1,113","3,515"
,Total,3,3,"1,953","7,456"
