S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,12,13,13,"1,200","2,832"
1,Ersama,3,3,3,78,0
2,Jagatsinghpur,1,1,1,340,246
3,Raghunathpur,1,1,1,278,459
4,Tirtol,7,8,8,504,"2,127"
,Total,12,13,13,"1,200","2,832"
